"Routing_plan","FRRR_id_rgt","FRRR_AA","FRRR_AAs","FRRR_OvC","FRRR_TrC","FRRR_SlC","FRRR_RP","FRRR_AL","FRRR_WT","FRRR_RD","FRRR_RCD","FRRR_Ovt","FRRR_OvWt","FRRR_RV","FRRR_SNA","FRRR_RAA","FRRR_RSAA","FRRR_RSLA","FRRR_TRAS","SRRR_id_rgt","SRRR_AA","SRRR_AAs","SRRR_OvC","SRRR_TrC","SRRR_SlC","SRRR_RP","SRRR_AL","SRRR_WT","SRRR_RD","SRRR_RCD","SRRR_Ovt","SRRR_OvWt","SRRR_RV","SRRR_SNA","SRRR_RAA","SRRR_RSAA","SRRR_RSLA","SRRR_TRAS"
"120/10/180/1-2/30","5674148","660","2.9691766304097","3.41942474389283","66.0263499119602","0","7057500","2.85845565585993","1834.33324733402","1.96486459432529","0.286559003642656","209.359219126247","0.342892941617999","6728774.813834","Inf","2.24517177523813","2.98435284051784","0.150089049308991","0.219795779832437","11858291","1219","5.92630889576633","2.69817274377165","136.172317431037","0","12945000","5.70996372689596","3683.022417154","3.74093777339316","0.53105301565928","512.046708651972","0.834689209659606","12312452.470333","Inf","4.44803896007701","5.96083467421426","0.296359067984668","0.217237699752299"
"120 /unl/200","15101291","526","7.79462332857855","2.91008549583529","239.636691273733","0","5824500","7.52518656402186","4663.49761904762","4.76423041327418","0.728473696227904","734.716071428571","1.2605117745765","5480402.130999","Inf","5.80440481310351","7.72765274929585","0.483849375764973","0.225149578616908","19826237","608","9.49347331765967","8.09049746158419","304.923694496503","0","6811500","9.30062894294187","5888.18475165186","6.00167633082625","0.944805339355012","656.317349317349","1.11414393218359","6344906.985667","Inf","7.19820913569079","9.34078283182225","0.717388491744115","0.233138086479702"
"160/unl/180/7","9397737","442","4.99082568807339","18.3257265199836","132.646218155559","0","3538500","4.75582919965082","3126.88431013431","3.2740231319727","0.502888684391248","227.500076312576","0.361246485787189","3368560.305833","Inf","3.62070185253337","4.98319327731092","0.278148643339949","0.249569954058471","9925755","340","4.85300601039636","25.0467053856423","123.747089826883","0","2818500","4.78178725947057","3063.47896825397","3.53521024966197","0.549101936957806","311.380158730159","0.505143227814897","2696229.945334","Inf","3.71783005743435","4.74315358755586","0.254268668019358","0.244060823057922"
"75/15/150 RUN 2ND","24524547","143","12.5272727272727","0","253.184920634921","0","1092000","11.4037899892085","7983","6.68265798227838","1.31772844178759","337.333333333333","0.543925850044864","983497.4585","Inf","9.42379076850002","11.976243596421","1.59621001079145","0.184704998121007","31665659","180","15.4888888888889","0","333.518335895271","0","1390500","14.3054033954873","9839.5","9.54956431714854","1.76576142479031","479.5","0.748412849195456","1241219.474834","Inf","12.108610917554","15.0155759273406","1.69459660451272","0.191244473804563"
"20/10/40","9374528","61","1.96911128087599","0","93.5916666666667","0","213000","2.29344650526938","2960.84145021645","0.713853360194033","0.182496586422128","506.688311688312","0.866891521702887","119713.068","Inf","3.3754638638682","1.28627376381809","3.07759045901633","0.0493333345517382","15792755","110","3.47922106912769","36.1363636363636","157.147234709735","0","363000","2.78605490915085","4678.9420995671","1.05613652536671","0.198513357939631","922.863636363636","1.56870000980124","152572.690833","Inf","5.39682233325541","2.26317799378794","6.80138305059189","0.0532000336930666"
"150/unl/120/0","11291854","127","5.79169565544025","24.5593855319088","172.996777932536","0","960000","5.70046773275516","3733.5","3.43195836796432","0.569657875428816","223.5","0.355178095653524","912593.147501","Inf","4.1510899586286","5.59727589889385","0.358503376794208","0.258309896879604","9895527","80","4.79260651629073","15.7770285270285","148.870448995449","0","619500","4.73228260881225","3102.41666666667","2.69359248033346","0.406389402775854","177.416666666667","0.281967338595582","586832.383667","Inf","3.32604916947963","4.63220577871741","0.313465393920142","0.277874775040963"
"LEP Routing","18958307","249","8.77918471961853","2.15686274509804","210.440815907854","0","373500","6.37501251648468","6239.52525252525","4.56778847858276","1.18873209153009","271.691919191919","0.430492675283353","235542.656667","Inf","7.3609531360724","8.77918471961853","3.66093519593362","0.15620636120658","15762090","196","7.4027269027269","0","170.855308815304","0","294000","5.56351169391937","4977.03333333333","4.01665622988895","1.01709061963143","208.533333333333","0.332985737114681","202246.11","Inf","6.00934667833989","7.4027269027269","2.43648830608063","0.17357394967551"
"90/30/120","11320014","360","5.6509180572417","1.94760312151617","178.244746244598","0","1723500","5.13934807207991","3489.1875","3.46833537694759","0.5487687733091","488.035714285714","0.841540009510201","1492405.042833","Inf","4.3485300264079","5.57223356562058","0.8769605687484","0.219189895314351","21663935","585","10.18579981654","4.52389496468444","322.662543968075","566.942307692308","3268500","9.50633961269194","6421.45863858364","6.49232496480616","1.05289757029537","611.510801698302","1.04642214752431","2867296.534501","Inf","8.03598582799341","9.92208532203163","2.09510346522674","0.216482337239891"
"100/unl/120","11332563","190","5.68413547237077","12.782196969697","194.470830120752","0","2148000","5.29996383242152","3601.97835497836","3.24429244006753","0.470522453088618","668.366883116883","1.12403344370914","1888169.0465","Inf","4.28630692145797","5.60717938671644","0.75136410372918","0.217114332311368","11894768","184","5.7797732214282","4.19230769230769","170.178747124968","0","2044500","5.27026994515688","3554.56222943723","2.85113667975606","0.457382944257575","731.818181818182","1.23482964015852","1794796.523833","Inf","4.40251617478355","5.71504735788978","0.738951713049547","0.172828569751097"
"100/60/120/ 7","11281379","192","5.76628371628372","73.8348745483629","121.225499065964","0","1395000","5.74669381605142","3438.29880952381","3.26416844466003","0.688967237626956","331.286904761905","0.578541694050054","1337900.182167","Inf","4.45661483532544","5.52103062712688","0.514750923003918","0.187055752585287","13919295","228","6.82062294852993","73.5102766344294","157.729455530891","0","1516500","6.62153926780854","4046.625","3.54686914735568","0.71030357653443","359.535714285714","0.620429187833749","1434058.298","Inf","5.07699811370792","6.63636936580782","0.669733656951514","0.192589944883523"
"ID-3 Min/unl/200/0","26375224","1061","13.0201651576503","222.570477240478","591.484859019488","0","11001000","12.9358519231036","10048.2968115942","7.9876564433622","0.988164861126538","2068.23062801932","2.66522749887195","10183611.297335","Inf","8.71544624030651","12.6101795422029","1.36615835393826","0.350624643076484","23515238","1100","11.4974145528603","62.8268469468116","423.050564800911","0","11073000","11.22483838775","8246.19475546477","7.04671889721471","0.916282457804265","1329.20004216443","1.91412121960051","10403451.394166","Inf","7.91002443727757","11.2521061853994","0.874798916236921","0.301583646177859"
