"Routing_plan","FN","FRRR","SRRR","SN"
"80/10/150/Specialty/10","5","0.7045","0.6121","6"
"75/10/120/1-3/0a","6","0.5769","0.5638","7"
"75/15/60/1-5/15","6","0.5566","0.6243","5"
"FSSwk2/wk4/90/0/60/20n","7","0.5545","0.5059","6"
"90/10/180/Specialty/15t","4","0.5505","0.5531","5"
"60/10/180/Specialty/15v","6","0.689","0.6476","9"
"75/10/60/1-3/10n","6","0.6593","0.6437","6"
"65/20/120/1-2/10","6","0.7225","0.6918","6"
"FSSwk2/wk4/90/0/60/20ad","6","0.1624","0.1408","8"
"70/20/120/1-5/10","6","0.5134","0.548","6"
"FSSwk2/wk4/90/0/60/20am","7","0.2111","0.0885","5"
"70/20/120/1-3/10","6","0.9241","0.9038","5"
"90/20/180/1-2/0?","4","0.9641","0.9551","5"
"90/10/180/Specialty/15as","7","0.5748","0.5684","7"
"70/20/120/1-4/10+","7","0.6905","0.6744","9"
"90/10/120/1-2/10we","7","0.7969","0.8173","4"
"90/10/180/Specialty/15e","6","0.6372","0.6415","7"
"90/10/180/Specialty/15j","5","0.5958","0.5614","8"
"120/30/200/1-2/5qq","6","0.7232","0.7242","8"
"FSSwk2/wk4/90/0/60/20l","8","0.0904","0.6265","13"
"FSSwk2/wk4/90/0/60/20u","6","0.4673","0.4493","6"
"90/10/180/Specialty/15u","5","0.556","0.5316","9"
"45/20/100/1-1/20","5","0.6853","0.6527","5"
"45/15/120/1-4/15","9","0.7404","0.6144","13"
"75/15/100/1-2/5q","7","0.7464","0.71","8"
"120/25/90/1-3/0g","6","0.8119","0.7932","8"
"FSSwk2/wk4/90/0/60/20af","6","0.2333","0.2071","6"
"FSSwk2/wk4/90/0/60/20ab","7","0.2245","0.2719","8"
"90/10/180/Specialty/15z","6","0.6097","0.5758","6"
"90/10/180/Specialty/15ah","5","0.8712","0.856","7"
"FSSwk2/wk4/90/0/60/20ar","4","0.2006","0.2401","8"
"90/20/180/1-1/0ds","6","0.7713","0.7542","7"
"90/10/180/Specialty/15an","5","0.6139","0.5645","8"
"120/20/120/1-4/0","3","0.6859","0.6306","7"
"120/30/200/1-1/5jh","5","0.7642","0.7135","6"
"75/30/120/10","25","0.8366","0.8452","34"
"90/10/180/Specialty/15a","5","0.6018","0.5789","9"
"FSSwk2/wk4/90/0/60/20j","7","0.0486","0.1102","9"
"160/unl/150/0","5","0.6869","0.6737","3"
"120/30/150/1-2/0","5","0.7193","0.7435","8"
"FSSwk2/wk4/90/0/60/20k","6","0.5671","0.5567","7"
"200/unl/200/7^","6","0.7587","0.7951","7"
"90/10/180/Specialty/15l","8","0.5941","0.5948","14"
"120/20/180/1-1/0","5","0.786","0.8183","6"
"120/20/180/1-5/0","6","0.747","0.6805","5"
"90/10/180/Specialty/15ag","6","0.6421","0.6809","5"
"90/10/180/Specialty/15aj","7","0.7119","0.665","9"
"FSSwk2/wk4/90/0/60/20al","5","0.1516","0.1838","9"
"FSSwk2/wk4/90/0/60/20ao","4","0.1723","0.1483","7"
"90/10/180/Specialty/15aq","6","0.5685","0.5906","8"
"90/10/180/Specialty/15ap","6","0.6187","0.6619","8"
"90/15/90/1-2/5y","6","0.7279","0.709","5"
"60/30/120/1-5/10-","6","0.513","0.4983","5"
"80/15/100/1-1/10","5","0.7779","0.7836","6"
"60/0/120","4","0.6231","0.628","7"
"120/10/180/Specialty/5","7","0.6991","0.704","6"
"70/15/90/1-3/5","6","0.6655","0.6947","7"
"35/25/90/1-5/20","3","0.6622","0.6377","7"
"Min/15/120/1-3/0d","3","0.7593","0.4335","3"
"90/30/100/0*","3","0.655","0.6022","9"
"Min/0/90/1-4/30","6","0.6694","0.752","6"
"FSSwk2/wk4/90/0/60/20q","6","0.3224","0.2086","7"
"FSSwk2/wk4/90/0/60/20p","4","0.4802","0.4984","9"
"90/10/180/Specialty/15n","6","0.6362","0.5588","7"
"FSSwk2/wk4/90/0/60/20x","7","0.3021","0.3433","6"
"90/10/180/Specialty/15x","5","0.5929","0.5482","9"
"Min/60/60/1-3/0","4","0.4278","0.5411","4"
"50/15/60/1-5/15x","4","0.5434","0.5097","9"
"45/15/140/1-5/20fs","7","0.5687","0.5284","8"
"70/20/180/1-3/10","4","0.843","0.8198","7"
"70/20/90/1-2/10","5","0.7701","0.7227","8"
"90/10/180/Specialty/15ar","5","0.6303","0.5698","7"
"90/20/120/1-4/5","6","0.7892","0.8376","8"
"45/10/60/1-5/0","7","0.5682","0.5808","10"
"90/20/130/1-1/0","5","0.7535","0.6981","8"
"90/30/150/1-3/0!","4","0.8303","0.8097","6"
"150/60/150/7^","4","0.7242","0.7621","3"
"30/10/90 RUN FIRST","3","-0.241","-0.1893","6"
"FSSwk2/wk4/75/10/60/50","10","0.4083","0.3717","13"
"Min/0/60/1-4/13","4","0.501","0.4551","6"
"60/10/180 - RUN SECOND#","7","0.8171","0.9388","1"
"FSSwk2/wk4/40/0/60/20","8","0.2548","0.282","15"
"75/30/90/1-5/0X","6","0.2096","0.1253","7"
"120/10/120/1-3/0","5","0.4562","0.5027","4"
"90/10/180/Specialty/10","15","0.5549","0.4405","28"
"FSSwk2/wk4/120/10/60/50","11","0.5184","0.5032","13"
"75 Min Drive","31","0.7022","0.7158","44"
"FSSwk2/wk4/45/10/60/0","22","0.3196","0.3275","21"
"FSSwk2/wk4/65/0/60/0","12","0.133","0.2302","19"
"50/20/60/1-4/5j","7","0.6963","0.7285","6"
"Min/unl/unl/1-1/0","4","0.8578","0.7959","4"
"60/10/180/Specialty/20","4","0.6164","0.5442","5"
"160/30/150/1-3/5","6","0.6188","0.6879","8"
"130/20/180/1-3/5;","5","0.8181","0.7546","8"
"45/15/120/1-2/10","4","0.6753","0.609","8"
"60/10/120/Specialty/5","5","0.4121","0.4508","7"
"45/20/60/1-3/100","4","0.7184","0.6899","9"
"75/30/180/1-1/25","5","0.7302","0.7058","5"
"45/15/90/1-3/10","4","0.6713","0.6859","6"
"80/10/130/1-2/5","4","0.7763","0.7576","10"
"55/15/100/1-4/15","4","0.7375","0.6785","8"
"FSSwk2/wk4/120/10/180/15","4","0.2931","0.6944","9"
"90/10/180/Specialty/20a","2","0.0377","-0.2043","3"
"FSSwk2/wk4/60/10/60/20","6","0.0643","0.1066","8"
"30/10/180 - RUN FIRST#","4","0.5718","0.471","1"
"70/20/120/Specialty/5","5","0.5062","0.3951","6"
"FSSwk2/wk4/65/0/80/0","14","0.0207","0.0675","23"
"120/10/UNL/Speciality/50","5","0.6475","0.6751","7"
"45/10/90/1-5/7","4","0.6413","0.6602","7"
"75/30/100/1-5/8","6","0.6958","0.6853","6"
"45/30/100/1-4/10j","5","0.7409","0.7108","8"
"120/10/120/Specialty/20","8","0.577","0.6705","11"
"FSSwk2/wk4/70/0/70/50","4","0.2564","0.325","6"
"70/10/120/Specialty/20","9","0.6246","0.5907","12"
"100/30/180/1-3/5","4","0.7493","0.748","7"
"120/10/120/1-3/5","3","0.7955","0.8942","3"
"75/15/100/1-5/10","5","0.5455","0.6207","6"
"120/10/120/1-3/0a","4","0.2752","0.3182","8"
"FSSwk2/wk4/65/10/30/0","6","0.091","0.1236","9"
"FSSwk2/wk4/75/10/90/50","5","0.3251","0.3798","6"
"Min/10/180/Specialty/20","30","0.6053","0.6142","33"
"FSSwk2/wk4/45/UNL/60/0","9","0.1484","0.0756","15"
"90/0/140/1-1/10","6","0.7039","0.7114","6"
"120/10/70/1-4/10","3","0.6419","0.6412","8"
"75/20/60/1-3/10","6","0.7406","0.7333","8"
"100/30/200/1-1/0","5","0.77","0.7198","8"
"FSSwk2/wk4/80/10/60/0","4","0.0933","0.0793","10"
"75/10/180/Specialty/20","4","0.5676","0.5298","7"
"80/20/150/1-4/10j","6","0.5322","0.5724","9"
"90/10/180/Specialty/15","16","0.5684","0.5267","21"
"FSSwk2/wk4/60/20/60/0","6","0.0932","0.1194","9"
"90/10/120/Specialty/20","59","0.5141","0.4545","73"
"70/30/180/1-4/100","5","0.7446","0.7212","8"
"45/10/180/1-4/50","2","0.7218","0.7221","6"
"75/10/90/1-5/10","7","0.7657","0.7655","4"
"75/20/140/1-4/10","6","0.7001","0.6666","7"
"Min/30/180/1-5/10","6","0.7416","0.6474","8"
"75/0/120/1-5/0","7","0.7183","0.6841","6"
"60/20/90/Speciality/5","6","0.646","0.7172","4"
"Min/0/180/Specialty/20","6","0.555","0.6344","7"
"FSSwk2/wk4/90/10/140/20","5","0.5091","0.5348","7"
"120/45/150/1-5/50","7","0.4324","0.4777","9"
"75/10/200/Specialty/20","4","0.6145","0.5405","8"
"Min/UNL/120/1-3/5","6","0.5269","0.6167","8"
"75/45/150/1-1/50","5","0.6445","0.6009","8"
"FSSwk2/wk4/70/unl/60/20","3","0.2269","0.1484","7"
"70/10/120/1-4/5","6","0.772","0.6943","5"
"45/20/120/1-5/20","4","0.5511","0.4731","5"
"45/15/140/1-2/15","5","0.6372","0.6189","5"
"90/30/90/1-4/8","5","0.7819","0.7704","9"
"80/30/120/1-1/10","6","0.7457","0.7905","2"
"FSSwk2/wk4/45/0/60/20","15","0.1711","0.1472","18"
"75/10/110/1-4/10j","6","0.5292","0.5167","8"
"60/20/120/Specialty/5","8","0.5266","0.5766","10"
"90/10/150/Specialty/25","6","0.5362","0.5545","8"
"40/10/180 RUN FIRST","3","0.5874","0.5554","6"
"75/15/120/1-4/10","6","0.3641","0.4285","7"
"50/15/135/1-4/30","6","0.7535","0.7443","6"
"45/0/120/1-4/20","4","0.5475","0.5554","6"
"Min/30/90/1-5/200a","4","0.5572","0.541","7"
"FSSwk2/wk4/90/10/100/20","5","0.4678","0.3954","6"
"120/10/150/1-1/50","4","0.7924","0.8064","8"
"Min/10/60/1-4/10","5","0.5071","0.4352","8"
"120/10/180/1-2/30","3","0.7677","0.7424","6"
"120 /unl/200","8","0.7665","0.6261","10"
"160/unl/180/7","5","0.8105","0.7602","5"
"75/15/150 RUN 2ND","13","0.6127","0.7039","16"
"20/10/40","5","-0.2612","-0.6859","8"
"150/unl/120/0","6","0.6134","0.4731","5"
"LEP Routing","10","0.1251","0.2861","8"
"90/30/120","6","0.6115","0.5579","11"
"100/unl/120","6","0.7239","0.6988","6"
"100/60/120/ 7","6","0.7389","0.6675","7"
"ID-3 Min/unl/200/0","14","0.5776","0.6874","12"
"30/20/60","4","0.3196","0.3186","7"
"35/20/60","4","0.1114","0.3235","6"
"75/30/90/0","5","0.3599","0.4343","9"
"ID-2 120/40/120/7","13","0.5478","0.6524","16"
"75/20/120 RUN THIRD","8","0.6062","0.6246","7"
"40/10/120/20 RUN FIRST","4","0.5221","0.4804","1"
"30/10/40","6","0.0534","0.0759","6"
"75/20/90","6","0.4797","0.3486","7"
"60/20/90/0x","6","0.8404","0.7735","8"
"200/unl/150/ 7","6","0.8304","0.6648","6"
"FSSwk2/wk4/65/10/60/15","4","-0.0492","0.1268","4"
"FSSwk2/wk4/65/10/60/50","70","0.3516","0.3702","100"
"75/0/60/1-5/10","6","0.503","0.5231","8"
"90/10/180/Specialty/20","43","0.5602","0.5501","49"
"75/0/120/1-4/10j","7","0.6071","0.6377","7"
"120/UNL/60/1-5/0","6","0.3731","0.5754","11"
"FSSwk2/wk4/85/10/60/50","5","0.4924","0.4585","5"
"Min/0/60/1-1/0","5","0.2961","0.4314","8"
"FSSwk2/wk4/95/10/120/10","6","0.4016","0.2577","5"
"75/0/60/1-2/10","4","0.5089","0.5043","4"
"Min/UNL/60/1-4/5","7","0.442","0.4159","5"
"90/10/60/1-4/19","6","0.6863","0.6766","6"
"35/15/90/1-2/20#","5","0.7707","0.7359","7"
"90/10/0/Specialty/7","7","0.4916","0.5754","11"
"75/10/30/4-1/10","4","0.7723","0.764","8"
"Min/Unl/Unl/2-3/12","4","0.8424","0.7381","4"
"Min/UNL/60/1-1/5","4","0.447","0.2586","2"
